tch_id,data_category,label_zh,label_en,latin_name,has_property,has_flavor,has_meridian_tropism,has_function,use_part,toxicity,sources,xrefs,date_accessed,notes
TmpTCH:HERB_100000,herb,阿比西尼亚刺桐,Abyssinia Coralbean,Erythrina Abyssinica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000001;TCMID: 6286,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100001,herb,阿比西尼亚牛筋果,Abyssinia Harrisonia,Harrisonia Abyssinica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000002;TCMID: 4984,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100002,herb,阿尔及尔大翅蓟,Algerian Cottonthistle,Onopordum Algeriense,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000003;TCMID: 2229,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100003,herb,阿尔及利亚补血草,Algerian Statice,Limonium Bonduellii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000004;TCMID: 2187,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100004,herb,香爪鸢尾,Algerian Iris,Iris Unguicularis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000005;TCMID: 5086,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100005,herb,阿尔泰银莲花,Altai Anemone,Anemone Altaica,,,,"To transform phlegm and open orifices, quiet spirit, diffuse damp and arouse spleen, resolve toxin.",Rhizome,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000006;TCMID: 3337,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100006,herb,阿尔泰紫菀,Altai Heteropappus,Herba Heteropappi Altaici,Slightly Bitter; Cool,Slightly Bitter; Cool,,"To clear heat and downbear fire, expel pus and relieve cough.",Whole herb,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000007;TCMID: 8058,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100007,herb,阿富汗丁香,Afghanistan Lilac,Syringa Afghanica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000008;TCMID: 7658,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100008,herb,阿富汗杜鹃花,Hcollett’S Rhododendron,Rhododendron Collettianum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000009;TCMID: 5047,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100009,herb,阿富汗糖芥,Afghanistan Erysimum,Erysimum Perofskianum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000010;TCMID: 6978,2025-11-12,Source: herb2_0.HERB_herb_info_v2
