tch_id,data_category,label_zh,label_en,definition_zh,definition_en,has_synonym_zh,has_synonym_en,parents,realizes_principle,treats_pattern,treats_disease,employs_herb,employs_formula,xrefs,sources,date_accessed,notes
TmpTCH:METHOD_61000,method,治法,Therapeutic Method,"中医治法根类别,包含所有治法术语",Root category for all TCM therapeutic method terms,,,,,,,,,,,2025-11-12,ROOT category for Method hierarchy
TmpTCH:METHOD_61001,method,治法类术语,curative methods terminology,泛指治疗疾病的具体方法。即在对疾病进行诊断与辨证的基础上，按照标本缓急、三因制宜、扶正祛邪等基本法则制订各种具体的治法。,,,,TmpTCH:METHOD_61000,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3; Database: clinical_treatment
TmpTCH:METHOD_61002,method,解表法,therapy for relieving external syndrome/patterns,泛指运用具有发汗、宣肺、透疹等作用的方药或相关疗法，以解散表邪、治疗表证的一类治法。,,"发表法,汗法",,TmpTCH:METHOD_61001,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1; Database: clinical_treatment
TmpTCH:METHOD_61003,method,调和营卫,regulating and harmonizing the nutrient and defense,运用具有解散外邪、收敛益阴等作用，促使营卫和谐的方药或相关疗法，以治疗营卫不和、营卫失调等所致病证的治法。,,,,TmpTCH:METHOD_61002,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.1; Database: clinical_treatment
TmpTCH:METHOD_61250,method,疏风和营,dispersing wind and harmonizing the nutrient,运用具有疏散风邪、调和营卫等作用的方药或相关疗法，以治疗太阳中风、风邪外袭、风邪袭表、营卫不和等所致病证的治法。,,,,TmpTCH:METHOD_61003,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.1.1; Database: clinical_treatment
TmpTCH:METHOD_61251,method,散寒和营,dissipating cold and harmonizing nutrient qi,运用具有散寒通阳、调和营卫等作用的方药或相关疗法，以治疗太阳伤寒、风寒束表、外寒伤阳等所致病证的治法。,,,,TmpTCH:METHOD_61003,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.1.2; Database: clinical_treatment
TmpTCH:METHOD_61252,method,化湿和营,resolving dampness and harmonizing the nutrient,运用具有芳香化湿、调和营卫等作用的方药或相关疗法，以治疗湿郁卫表等所致病证的治法。,,燥湿和营,,TmpTCH:METHOD_61003,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.1.3; Database: clinical_treatment
TmpTCH:METHOD_61004,method,辛温解表,relieving the external with pungent-warm medicinals,运用味辛性温，具有发散风寒、开通肌腠等作用的方药或相关疗法，以治疗寒邪或风寒束表等所致病证的治法。,,"辛温发汗,发表散寒",,TmpTCH:METHOD_61002,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.2; Database: clinical_treatment
TmpTCH:METHOD_61005,method,疏风散寒,dispersing wind and dissipating cold,运用具有疏散风寒、开通腠理等作用的方药或相关疗法，以治疗风寒外袭所致病证的治法。,,,,TmpTCH:METHOD_61004,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.2.1; Database: clinical_treatment
TmpTCH:METHOD_61253,method,疏风散寒解表,dispersing  dissipating cold and releasing the external,运用具有疏风散寒、发汗解表等作用的方药或相关疗法，以治疗风寒袭表、风寒束表等所致病证的治法。,,,,TmpTCH:METHOD_61005,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.2.1.1; Database: clinical_treatment
TmpTCH:METHOD_61254,method,发汗解表,promoting sweating to release the external,运用具有温通腠理、开表发汗等作用的方药或相关疗法，以治疗风寒束表较重或寒邪束表等所致病证的治法。,,,,TmpTCH:METHOD_61004,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.2.2; Database: clinical_treatment
