tch_id,data_category,label_zh,label_en,definition_zh,definition_en,associated_pathomechanism,sources,date_accessed,notes
TmpTCH:SYMPTOM_20000,symptom,嗳气,嗳气,嗳气（belching）是胃中气体上出咽喉所发出的声响，其声长而缓，俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良等疾病，多伴有嗳气症状。自胃部上升的气体或酸性液体导致嗳气（呃逆）发生，伴有典型的响声。嗳气可因不同病因在持续时间和响度上发生改变。在过去几十年中发生的一些重要事件使人们对功能性胃肠病（FGID）有了更深入的了解。罗马III标准中将功能性胃十二指肠疾病的症状分为3类：功能性消化不良、嗳气和恶心呕吐。嗳气又分为：吞气症和非特异性过度嗳气。,嗳气（belching）是胃中气体上出咽喉所发出的声响，其声长而缓，俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良等疾病，多伴有嗳气症状。自胃部上升的气体或酸性液体导致嗳气（呃逆）发生，伴有典型的响声。嗳气可因不同病因在持续时间和响度上发生改变。在过去几十年中发生的一些重要事件使人们对功能性胃肠病（FGID）有了更深入的了解。罗马III标准中将功能性胃十二指肠疾病的症状分为3类：功能性消化不良、嗳气和恶心呕吐。嗳气又分为：吞气症和非特异性过度嗳气。,胃气上逆,SymMap2.0 SMTS1,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20001,symptom,白带色乳白,白带色乳白,白带是女性正常情况下由阴道粘膜渗出物、宫颈管及子宫内膜腺体分泌物混合而成，并与雌激素的作用有关，会随着月经周期的不同发生变化，从阴道分泌而出。在正常的情况下，白带应该是透明发亮、白色稀糊状或蛋清样，带有粘稠性，量少，同时没有任何腥臭味，对女性的健康无不良影响，称为生理性白带。与生理性白带相比较，无论是从颜色、性质、气味等方面来说，病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带、炎症性白带、异物刺激性白带、其他阴道排除物。,白带是女性正常情况下由阴道粘膜渗出物、宫颈管及子宫内膜腺体分泌物混合而成，并与雌激素的作用有关，会随着月经周期的不同发生变化，从阴道分泌而出。在正常的情况下，白带应该是透明发亮、白色稀糊状或蛋清样，带有粘稠性，量少，同时没有任何腥臭味，对女性的健康无不良影响，称为生理性白带。与生理性白带相比较，无论是从颜色、性质、气味等方面来说，病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带、炎症性白带、异物刺激性白带、其他阴道排除物。,带脉失约,SymMap2.0 SMTS2,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20002,symptom,白带淸稀,白带淸稀,指阴道分泌物的减少,指阴道分泌物的减少,肾阳不足,SymMap2.0 SMTS3,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20003,symptom,白带增多,白带增多,指阴道分泌物的增加,指阴道分泌物的增加,带脉失约,SymMap2.0 SMTS4,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20004,symptom,白发,白发,白发指头发全部或部分变白白发分有老年白发和少白发,白发指头发全部或部分变白白发分有老年白发和少白发,血虚,SymMap2.0 SMTS5,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20005,symptom,白睛红赤,白睛红赤,眼白红赤,眼白红赤,猝感疫疠之气，疫热伤络，或肺胃积热，肺金凌木，侵犯肝经,SymMap2.0 SMTS6,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20006,symptom,白细胞减少,白细胞减少,指周围白细胞计数持续下降所引起的一组症状。典型表现为头晕、乏力，肢体酸白细胞减少症白细胞减少症软，食欲减退，精神萎靡、低热，属祖国医学“虚劳”范畴。中医治疗白细胞减少症采用益气养血，补肾益精，健脾养胃诸法。,指周围白细胞计数持续下降所引起的一组症状。典型表现为头晕、乏力，肢体酸白细胞减少症白细胞减少症软，食欲减退，精神萎靡、低热，属祖国医学“虚劳”范畴。中医治疗白细胞减少症采用益气养血，补肾益精，健脾养胃诸法。,脾虚,SymMap2.0 SMTS7,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20007,symptom,白浊,白浊,又称尿精，系指在排尿后或排尿时从尿道口滴出白色浊物，可伴小便涩痛的一种病证,又称尿精，系指在排尿后或排尿时从尿道口滴出白色浊物，可伴小便涩痛的一种病证,湿热,SymMap2.0 SMTS8,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20008,symptom,斑秃,斑秃,本病是一种非瘢痕性脱发，常发生于身体有毛发的部位，局部皮肤正常，无自觉症状。,本病是一种非瘢痕性脱发，常发生于身体有毛发的部位，局部皮肤正常，无自觉症状。,风,SymMap2.0 SMTS9,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20009,symptom,斑疹,斑疹,指皮肤局限性或弥漫性皮色改变，一般不隆起亦不凹陷即为斑疹。是皮肤病症状中最常见的原发损害之一。一般比较小，小于1-2cm，大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑，称为鳞屑性斑疹，如花斑糠疹的皮疹。,指皮肤局限性或弥漫性皮色改变，一般不隆起亦不凹陷即为斑疹。是皮肤病症状中最常见的原发损害之一。一般比较小，小于1-2cm，大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑，称为鳞屑性斑疹，如花斑糠疹的皮疹。,风热,SymMap2.0 SMTS10,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20010,symptom,斑疹紫黑,斑疹紫黑,指热病过程中发于肌表的斑和疹两种证候。见《伤寒九十论·发斑证》。斑和疹虽系两证，然亦有斑疹齐见者。斑疹发出后，以神清者为佳。,指热病过程中发于肌表的斑和疹两种证候。见《伤寒九十论·发斑证》。斑和疹虽系两证，然亦有斑疹齐见者。斑疹发出后，以神清者为佳。,热证,SymMap2.0 SMTS11,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20011,symptom,半身不遂,半身不遂,偏瘫（hemiplegia）又叫半身不遂，是指同一侧上下肢、面肌和舌肌下部的运动障碍，是急性脑血管病的常见症状。轻度偏瘫病人虽然尚能活动，但走起路来，往往上肢屈曲，下肢伸直，瘫痪的下肢走一步划半个圈，这种特殊的走路姿势，叫做偏瘫步态。严重者常卧床不起，丧失生活能力。按照偏瘫的程度，可分为轻瘫、不完全性瘫痪和全瘫。轻瘫：表现为肌力减弱，肌力在4～5级，一般不影响日常生活，不完全性瘫较轻瘫重，范围较大，肌力2～4级，全瘫：肌力0～1级，瘫痪肢体完全不能活动。应该及时就诊，以免延误治疗的最佳时期。,偏瘫（hemiplegia）又叫半身不遂，是指同一侧上下肢、面肌和舌肌下部的运动障碍，是急性脑血管病的常见症状。轻度偏瘫病人虽然尚能活动，但走起路来，往往上肢屈曲，下肢伸直，瘫痪的下肢走一步划半个圈，这种特殊的走路姿势，叫做偏瘫步态。严重者常卧床不起，丧失生活能力。按照偏瘫的程度，可分为轻瘫、不完全性瘫痪和全瘫。轻瘫：表现为肌力减弱，肌力在4～5级，一般不影响日常生活，不完全性瘫较轻瘫重，范围较大，肌力2～4级，全瘫：肌力0～1级，瘫痪肢体完全不能活动。应该及时就诊，以免延误治疗的最佳时期。,经脉闭阻,SymMap2.0 SMTS12,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20012,symptom,半身麻木,半身麻木,健康人肢体各种感觉的传递取决于大脑中枢至肢体神经通路的畅通无阻。如果在这一神经通路上的某一局部出现障碍，就会出现肢体麻木等症状。例如脊椎骨质增生性麻木：这种麻木在老年人中相当多见，其主要原因是椎骨骨质增生压迫了椎管内神经，有些病人还可伴有肢体疼痛等感觉。骨髓病性麻木：某些骨髓病的早期，可出现至下而上的肢体麻木，随病情加重而向上发展，进而出现肢体活动不灵等症状。,健康人肢体各种感觉的传递取决于大脑中枢至肢体神经通路的畅通无阻。如果在这一神经通路上的某一局部出现障碍，就会出现肢体麻木等症状。例如脊椎骨质增生性麻木：这种麻木在老年人中相当多见，其主要原因是椎骨骨质增生压迫了椎管内神经，有些病人还可伴有肢体疼痛等感觉。骨髓病性麻木：某些骨髓病的早期，可出现至下而上的肢体麻木，随病情加重而向上发展，进而出现肢体活动不灵等症状。,经脉闭阻,SymMap2.0 SMTS13,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20013,symptom,胞衣不下,胞衣不下,胞衣不下是一个病症，即产妇娩出胎儿后，经过半小时，胞衣（胎盘）仍不能自动排出的病症。多由分娩后元气大虚而无力排出胞衣，或产时感受外寒而气血凝滞所致，大多伴有出血症状。,胞衣不下是一个病症，即产妇娩出胎儿后，经过半小时，胞衣（胎盘）仍不能自动排出的病症。多由分娩后元气大虚而无力排出胞衣，或产时感受外寒而气血凝滞所致，大多伴有出血症状。,气虚,SymMap2.0 SMTS14,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20014,symptom,饱胀,饱胀,人吃饱了饭或吃多了东西，肚皮太胀了，胀得难受,人吃饱了饭或吃多了东西，肚皮太胀了，胀得难受,胃气上逆,SymMap2.0 SMTS15,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
